      Step     Time          Energy          fmax
FIRE:   13 15:14:24    -2357.384583        0.102656
FIRE:   14 15:14:24    -2357.389137        0.095740
FIRE:   15 15:14:24    -2357.393129        0.094450
FIRE:   16 15:14:24    -2357.396434        0.097601
FIRE:   17 15:14:24    -2357.399314        0.100703
FIRE:   18 15:14:24    -2357.402362        0.106890
FIRE:   19 15:14:24    -2357.406191        0.105593
FIRE:   20 15:14:24    -2357.411009        0.088381
FIRE:   21 15:14:24    -2357.416262        0.061661
FIRE:   22 15:14:24    -2357.420685        0.049897
FIRE:   23 15:14:24    -2357.423208        0.040492
FIRE:   24 15:14:25    -2357.424180        0.063159
FIRE:   25 15:14:25    -2357.424451        0.059996
FIRE:   26 15:14:25    -2357.424945        0.053875
FIRE:   27 15:14:25    -2357.425577        0.045214
FIRE:   28 15:14:25    -2357.426245        0.034686
FIRE:   29 15:14:25    -2357.426854        0.023395
FIRE:   30 15:14:25    -2357.427343        0.018041
FIRE:   31 15:14:25    -2357.427704        0.019884
FIRE:   32 15:14:25    -2357.428012        0.022127
FIRE:   33 15:14:25    -2357.428341        0.024437
FIRE:   34 15:14:25    -2357.428784        0.027327
FIRE:   35 15:14:25    -2357.429386        0.025640
FIRE:   36 15:14:25    -2357.430086        0.019694
FIRE:   37 15:14:25    -2357.430723        0.013678
FIRE:   38 15:14:25    -2357.431193        0.016720
FIRE:   39 15:14:25    -2357.431653        0.019531
FIRE:   40 15:14:25    -2357.432348        0.017224
FIRE:   41 15:14:25    -2357.433224        0.012226
FIRE:   42 15:14:25    -2357.433989        0.013068
FIRE:   43 15:14:25    -2357.434689        0.014769
FIRE:   44 15:14:25    -2357.435445        0.012227
FIRE:   45 15:14:25    -2357.435974        0.011873
FIRE:   46 15:14:25    -2357.436436        0.017600
FIRE:   47 15:14:25    -2357.436837        0.010493
FIRE:   48 15:14:25    -2357.436923        0.008564
FIRE:   49 15:14:25    -2357.437034        0.005325
FIRE:   50 15:14:25    -2357.437115        0.005236
FIRE:   51 15:14:25    -2357.437180        0.007415
FIRE:   52 15:14:25    -2357.437269        0.006942
FIRE:   53 15:14:25    -2357.437381        0.004141
      Step     Time          Energy          fmax
FIRE:    0 15:18:33    -2357.076641        0.760933
FIRE:    1 15:18:33    -2357.120310        0.679617
FIRE:    2 15:18:33    -2357.191707        0.531216
FIRE:    3 15:18:33    -2357.266398        0.370837
FIRE:    4 15:18:33    -2357.322480        0.247231
FIRE:    5 15:18:33    -2357.350269        0.169932
FIRE:    6 15:18:33    -2357.356239        0.203421
FIRE:    7 15:18:33    -2357.357758        0.197518
FIRE:    8 15:18:33    -2357.360660        0.185943
FIRE:    9 15:18:33    -2357.364684        0.169177
FIRE:   10 15:18:33    -2357.369483        0.147977
FIRE:   11 15:18:33    -2357.374656        0.126287
FIRE:   12 15:18:33    -2357.379806        0.113248
FIRE:   13 15:18:33    -2357.384583        0.102656
FIRE:   14 15:18:33    -2357.389137        0.095740
FIRE:   15 15:18:33    -2357.393129        0.094450
FIRE:   16 15:18:33    -2357.396434        0.097601
FIRE:   17 15:18:33    -2357.399314        0.100703
FIRE:   18 15:18:33    -2357.402362        0.106890
FIRE:   19 15:18:33    -2357.406191        0.105593
FIRE:   20 15:18:33    -2357.411009        0.088381
FIRE:   21 15:18:33    -2357.416262        0.061661
FIRE:   22 15:18:33    -2357.420685        0.049897
FIRE:   23 15:18:33    -2357.423208        0.040492
FIRE:   24 15:18:33    -2357.424180        0.063159
FIRE:   25 15:18:33    -2357.424451        0.059996
FIRE:   26 15:18:33    -2357.424945        0.053875
FIRE:   27 15:18:34    -2357.425577        0.045214
FIRE:   28 15:18:34    -2357.426245        0.034686
FIRE:   29 15:18:34    -2357.426854        0.023395
FIRE:   30 15:18:34    -2357.427343        0.018041
FIRE:   31 15:18:34    -2357.427704        0.019884
FIRE:   32 15:18:34    -2357.428012        0.022127
FIRE:   33 15:18:34    -2357.428341        0.024437
FIRE:   34 15:18:34    -2357.428784        0.027327
FIRE:   35 15:18:34    -2357.429386        0.025640
FIRE:   36 15:18:34    -2357.430086        0.019694
FIRE:   37 15:18:34    -2357.430723        0.013678
FIRE:   38 15:18:34    -2357.431193        0.016720
FIRE:   39 15:18:34    -2357.431653        0.019531
FIRE:   40 15:18:34    -2357.432348        0.017224
FIRE:   41 15:18:34    -2357.433224        0.012226
FIRE:   42 15:18:34    -2357.433989        0.013068
FIRE:   43 15:18:34    -2357.434689        0.014769
FIRE:   44 15:18:34    -2357.435445        0.012227
FIRE:   45 15:18:34    -2357.435974        0.011873
FIRE:   46 15:18:34    -2357.436436        0.017600
FIRE:   47 15:18:34    -2357.436837        0.010493
FIRE:   48 15:18:34    -2357.436923        0.008564
FIRE:   49 15:18:34    -2357.437034        0.005325
FIRE:   50 15:18:34    -2357.437115        0.005236
FIRE:   51 15:18:34    -2357.437180        0.007415
FIRE:   52 15:18:34    -2357.437269        0.006942
FIRE:   53 15:18:34    -2357.437381        0.004141
      Step     Time          Energy          fmax
FIRE:    0 15:25:59    -2357.076641        0.760933
FIRE:    1 15:25:59    -2357.120310        0.679617
FIRE:    2 15:25:59    -2357.191707        0.531216
FIRE:    3 15:25:59    -2357.266398        0.370837
FIRE:    4 15:25:59    -2357.322480        0.247231
FIRE:    5 15:25:59    -2357.350269        0.169932
FIRE:    6 15:26:00    -2357.356239        0.203421
FIRE:    7 15:26:00    -2357.357758        0.197518
FIRE:    8 15:26:00    -2357.360660        0.185943
FIRE:    9 15:26:00    -2357.364684        0.169177
FIRE:   10 15:26:00    -2357.369483        0.147977
FIRE:   11 15:26:00    -2357.374656        0.126287
FIRE:   12 15:26:00    -2357.379806        0.113248
FIRE:   13 15:26:00    -2357.384583        0.102656
FIRE:   14 15:26:00    -2357.389137        0.095740
FIRE:   15 15:26:00    -2357.393129        0.094450
FIRE:   16 15:26:00    -2357.396434        0.097601
FIRE:   17 15:26:00    -2357.399314        0.100703
FIRE:   18 15:26:00    -2357.402362        0.106890
FIRE:   19 15:26:00    -2357.406191        0.105593
FIRE:   20 15:26:00    -2357.411009        0.088381
FIRE:   21 15:26:00    -2357.416262        0.061661
FIRE:   22 15:26:00    -2357.420685        0.049897
FIRE:   23 15:26:00    -2357.423208        0.040492
FIRE:   24 15:26:00    -2357.424180        0.063159
FIRE:   25 15:26:00    -2357.424451        0.059996
FIRE:   26 15:26:00    -2357.424945        0.053875
FIRE:   27 15:26:00    -2357.425577        0.045214
FIRE:   28 15:26:00    -2357.426245        0.034686
FIRE:   29 15:26:00    -2357.426854        0.023395
FIRE:   30 15:26:00    -2357.427343        0.018041
FIRE:   31 15:26:00    -2357.427704        0.019884
FIRE:   32 15:26:00    -2357.428012        0.022127
FIRE:   33 15:26:00    -2357.428341        0.024437
FIRE:   34 15:26:00    -2357.428784        0.027327
FIRE:   35 15:26:00    -2357.429386        0.025640
FIRE:   36 15:26:00    -2357.430086        0.019694
FIRE:   37 15:26:00    -2357.430723        0.013678
FIRE:   38 15:26:00    -2357.431193        0.016720
FIRE:   39 15:26:00    -2357.431653        0.019531
FIRE:   40 15:26:00    -2357.432348        0.017224
FIRE:   41 15:26:00    -2357.433224        0.012226
FIRE:   42 15:26:00    -2357.433989        0.013068
FIRE:   43 15:26:00    -2357.434689        0.014769
FIRE:   44 15:26:00    -2357.435445        0.012227
FIRE:   45 15:26:00    -2357.435974        0.011873
FIRE:   46 15:26:00    -2357.436436        0.017600
FIRE:   47 15:26:00    -2357.436837        0.010493
FIRE:   48 15:26:00    -2357.436923        0.008564
FIRE:   49 15:26:00    -2357.437034        0.005325
FIRE:   50 15:26:00    -2357.437115        0.005236
FIRE:   51 15:26:00    -2357.437180        0.007415
FIRE:   52 15:26:00    -2357.437269        0.006942
FIRE:   53 15:26:00    -2357.437381        0.004141
      Step     Time          Energy          fmax
FIRE:    0 15:28:46    -2357.076641        0.760933
FIRE:    1 15:28:46    -2357.120310        0.679617
FIRE:    2 15:28:46    -2357.191707        0.531216
FIRE:    3 15:28:46    -2357.266398        0.370837
FIRE:    4 15:28:46    -2357.322480        0.247231
FIRE:    5 15:28:46    -2357.350269        0.169932
FIRE:    6 15:28:46    -2357.356239        0.203421
FIRE:    7 15:28:46    -2357.357758        0.197518
FIRE:    8 15:28:46    -2357.360660        0.185943
FIRE:    9 15:28:46    -2357.364684        0.169177
FIRE:   10 15:28:46    -2357.369483        0.147977
FIRE:   11 15:28:46    -2357.374656        0.126287
FIRE:   12 15:28:46    -2357.379806        0.113248
FIRE:   13 15:28:46    -2357.384583        0.102656
FIRE:   14 15:28:46    -2357.389137        0.095740
FIRE:   15 15:28:47    -2357.393129        0.094450
FIRE:   16 15:28:47    -2357.396434        0.097601
FIRE:   17 15:28:47    -2357.399314        0.100703
FIRE:   18 15:28:47    -2357.402362        0.106890
FIRE:   19 15:28:47    -2357.406191        0.105593
FIRE:   20 15:28:47    -2357.411009        0.088381
FIRE:   21 15:28:47    -2357.416262        0.061661
FIRE:   22 15:28:47    -2357.420685        0.049897
FIRE:   23 15:28:47    -2357.423208        0.040492
FIRE:   24 15:28:47    -2357.424180        0.063159
FIRE:   25 15:28:47    -2357.424451        0.059996
FIRE:   26 15:28:47    -2357.424945        0.053875
FIRE:   27 15:28:47    -2357.425577        0.045214
FIRE:   28 15:28:47    -2357.426245        0.034686
FIRE:   29 15:28:47    -2357.426854        0.023395
FIRE:   30 15:28:47    -2357.427343        0.018041
FIRE:   31 15:28:47    -2357.427704        0.019884
FIRE:   32 15:28:47    -2357.428012        0.022127
FIRE:   33 15:28:47    -2357.428341        0.024437
FIRE:   34 15:28:47    -2357.428784        0.027327
FIRE:   35 15:28:47    -2357.429386        0.025640
FIRE:   36 15:28:47    -2357.430086        0.019694
FIRE:   37 15:28:47    -2357.430723        0.013678
FIRE:   38 15:28:47    -2357.431193        0.016720
FIRE:   39 15:28:47    -2357.431653        0.019531
FIRE:   40 15:28:47    -2357.432348        0.017224
FIRE:   41 15:28:47    -2357.433224        0.012226
FIRE:   42 15:28:47    -2357.433989        0.013068
FIRE:   43 15:28:47    -2357.434689        0.014769
FIRE:   44 15:28:47    -2357.435445        0.012227
FIRE:   45 15:28:47    -2357.435974        0.011873
FIRE:   46 15:28:47    -2357.436436        0.017600
FIRE:   47 15:28:47    -2357.436837        0.010493
FIRE:   48 15:28:47    -2357.436923        0.008564
FIRE:   49 15:28:47    -2357.437034        0.005325
FIRE:   50 15:28:47    -2357.437115        0.005236
FIRE:   51 15:28:47    -2357.437180        0.007415
FIRE:   52 15:28:47    -2357.437269        0.006942
FIRE:   53 15:28:47    -2357.437381        0.004141
